Episode,Shots Hit Ghast,Total Shots
1,0,14
2,0,4
3,0,3
4,1,1
5,1,1
6,0,4
7,0,4
8,0,10
9,0,17
10,0,4
21,0,10
22,1,8
23,0,4
24,0,12
25,0,18
26,0,1
27,1,3
28,1,18
29,1,7
30,0,66
51,1,60
52,1,13
53,2,36
54,3,43
55,0,12
56,1,22
57,2,28
58,1,19
59,1,23
60,1,16
91,1,15
92,2,29
93,2,27
94,0,22
95,2,22
96,0,13
97,0,16
98,4,34
99,2,27
100,1,19
141,0,19
142,0,19
143,0,16
144,0,15
145,0,16
146,2,20
147,0,15
148,0,13
149,2,27
150,1,29
201,1,8
202,0,9
203,1,22
204,1,15
205,1,22
206,1,29
207,0,22
208,2,37
209,1,31
210,2,22
271,2,37
272,2,46
273,2,29
274,0,25
275,2,26
276,0,17
277,2,29
278,0,19
279,1,4
280,1,26
351,1,5
352,0,13
353,2,23
354,3,26
355,1,16
356,3,27
357,1,22
358,2,32
359,3,31
360,1,29
441,2,27
442,2,23
443,1,28
444,0,12
445,1,26
446,2,36
447,2,28
448,1,8
449,2,15
450,1,7
541,0,4
542,0,70
543,0,12
544,0,6
545,0,4
546,2,28
547,1,28
548,0,17
549,1,7
550,2,23
